Model,Validation_RMSE,Validation_MAE,Test_RMSE,Test_MAE,Validation_Size,Test_Size
Embedding Recommender,0.8789832033053656,0.6691112747034751,0.8786241360748341,0.6755098130957374,15125,15126
Item-based CF,0.8752328542597722,0.6611141201812962,0.8940364696631545,0.6854311275863225,3000,3000
SVD Matrix Factorization,0.9395412689077419,0.7261141256863304,0.9390510746387208,0.7297394368068816,15125,15126
Popularity Baseline,0.9820895993531609,0.7564937358650716,0.9862799419519467,0.7647848501789816,15125,15126
User-based CF,0.9713431518953127,0.7436108592316933,0.993041003900565,0.768301602354638,3000,3000
